DOB,siblings,countries
1998-06-11,4,"{Costa Rica, Germany, Puerto Rico, Finland, Grenada, Luxembourg, Latvia, Sierra Leone, Uruguay}"
1981-09-22,10,"{Tajikistan, Cyprus, Armenia, Sao Tome and Principe, Taiwan, Nepal, Vietnam}"
1999-06-21,3,"{Solomon Islands, Philippines, Antarctica (the territory South of 60 deg S), Saudi Arabia, Fiji, Syrian Arab Republic, Falkland Islands (Malvinas), Tunisia}"
1926-12-11,1,"{Turkmenistan, Tokelau, Aruba, Russian Federation, Nepal, Ireland}"
1932-12-23,4,"{Norway, Belize, Congo, Kuwait, Gibraltar}"
1983-04-18,5,"{Uzbekistan, Saint Lucia, Libyan Arab Jamahiriya, Tuvalu, Denmark, Latvia, Tunisia, Jersey}"
1922-03-13,6,"{Iran, Bahrain}"
1959-02-10,9,"{Australia, Libyan Arab Jamahiriya, Macao, Qatar, Austria}"
1969-01-11,7,"{Burundi, Tunisia, Dominica, Bangladesh}"
1998-03-10,10,"{Faroe Islands, Libyan Arab Jamahiriya, Denmark}"
1967-06-04,6,"{Heard Island and McDonald Islands, Austria, Kuwait, Serbia}"
1924-09-30,0,"{Slovakia (Slovak Republic), Cameroon, Sweden, Saint Barthelemy}"
1966-01-17,5,"{Yemen, Netherlands, Maldives, Norway, Saint Martin, Cambodia, Saint Pierre and Miquelon, Equatorial Guinea, Latvia}"
1962-08-23,2,"{British Virgin Islands, Iceland, Namibia, Northern Mariana Islands}"
1946-08-16,9,"{Barbados, Martinique, Brunei Darussalam, Paraguay, Faroe Islands}"
1982-01-07,4,"{Saint Martin, Belarus, Malaysia, Costa Rica, China, Turkmenistan, Croatia}"
1985-10-09,3,"{Japan, Iran, Suriname, Japan, Suriname}"
1939-01-18,6,"{Monaco, Iraq, Uruguay, Christmas Island, Iraq, Mali, Moldova, Mauritania, Botswana}"
1952-01-09,9,"{Kyrgyz Republic, Burundi, Timor-Leste, Iran, Albania, Nicaragua, Iraq, Netherlands Antilles, Bahrain, Afghanistan}"
1937-03-27,2,"{Estonia, Libyan Arab Jamahiriya, Montserrat, Jordan, Kenya, Vietnam, Timor-Leste}"
1982-05-15,6,{Faroe Islands}
1997-09-02,2,"{Angola, Guinea-Bissau, Gabon}"
1991-08-30,8,"{Guadeloupe, United States Minor Outlying Islands, San Marino, British Indian Ocean Territory (Chagos Archipelago), Uganda, Holy See (Vatican City State), Austria}"
1965-10-31,3,"{French Guiana, Moldova, Vietnam, United States Minor Outlying Islands, Senegal, Botswana, Cocos (Keeling) Islands, Albania, Mauritius, Syrian Arab Republic}"
1923-01-31,5,"{French Southern Territories, Cuba, French Polynesia, Afghanistan, Indonesia, Bahamas, Burundi}"
1952-08-11,7,"{Lebanon, Suriname, Sao Tome and Principe, Cook Islands, Cyprus}"
1993-04-21,2,"{Comoros, French Polynesia, Uganda, Netherlands Antilles, Portugal, Guernsey, Comoros, Netherlands}"
1969-07-16,4,"{Portugal, Armenia, Western Sahara, Liberia, Tonga, Faroe Islands, Puerto Rico}"
1978-12-26,8,"{Lithuania, Guinea-Bissau, Yemen, Hungary, United States of America, Saudi Arabia, Cape Verde, Kuwait}"
1954-03-24,5,"{Slovakia (Slovak Republic), Rwanda, Saudi Arabia, Turks and Caicos Islands, Sao Tome and Principe}"
1959-06-11,2,"{Gibraltar, Canada}"
1999-09-15,9,"{Canada, Eritrea}"
1994-10-26,10,"{Japan, Aruba}"
1950-05-29,8,"{Italy, Pitcairn Islands, Argentina, Bouvet Island (Bouvetoya), Netherlands Antilles, Brazil, Reunion, United States of America, Monaco}"
1945-12-17,10,"{Bolivia, Senegal, Albania, Poland, Mexico, United Kingdom, Kiribati, Brunei Darussalam, Martinique, Macao}"
1987-05-28,7,"{Bahrain, Papua New Guinea, Germany, Marshall Islands, France, Congo, Seychelles, Mexico, Benin}"
1980-02-22,0,"{Sudan, Ukraine, Kenya, Suriname, Luxembourg}"
1928-03-07,3,"{Sweden, Malaysia, Germany, Panama, Comoros, Denmark, Slovenia, Antarctica (the territory South of 60 deg S), Bulgaria}"
1950-06-04,5,"{Indonesia, Cameroon, Gabon, Madagascar, Saint Martin, Saint Kitts and Nevis}"
1990-02-03,1,{Venezuela}
1949-12-02,4,"{Saint Barthelemy, French Southern Territories, Seychelles, Wallis and Futuna, Sri Lanka, Togo, Tuvalu, France, Uganda, Swaziland}"
1971-05-12,8,"{Eritrea, Saint Lucia, Montserrat, Haiti, Libyan Arab Jamahiriya, United Kingdom, Mongolia, Kiribati}"
1979-09-26,4,"{Colombia, Heard Island and McDonald Islands, Cote d'Ivoire, France, Cayman Islands, Lebanon, United States Minor Outlying Islands, Luxembourg, Benin}"
1935-03-16,7,"{Madagascar, Canada, Fiji, Maldives, Ethiopia, New Zealand, El Salvador}"
1978-12-16,1,"{Aruba, Sao Tome and Principe, Sri Lanka, Cambodia, Montenegro, Tajikistan}"
1928-02-14,6,"{Jordan, Djibouti}"
1974-01-19,5,"{Antigua and Barbuda, Finland, Greenland, Jamaica, United States of America, Liberia, Brunei Darussalam, Cayman Islands, British Indian Ocean Territory (Chagos Archipelago), Romania}"
1926-04-15,9,"{Mali, Benin, Western Sahara}"
1977-12-08,9,"{Vanuatu, Ireland, Philippines, Eritrea, Cuba, Bhutan, Lithuania, Guernsey, Mauritania}"
1992-12-26,0,"{British Virgin Islands, Bulgaria, Monaco, Dominican Republic, Madagascar, Nauru, Cambodia, French Guiana, Portugal}"
1946-09-05,2,"{Palau, Swaziland, Mauritius, Lao People's Democratic Republic, Georgia, Tajikistan, San Marino, Croatia, Gabon, Estonia}"
1977-05-27,2,"{Mali, Israel, Bahamas, Armenia, Bahrain}"
1924-07-13,2,"{Azerbaijan, Burundi, Equatorial Guinea}"
1944-08-17,8,"{Guinea, Bermuda, Belarus, Cook Islands, Cocos (Keeling) Islands, Saint Kitts and Nevis, Northern Mariana Islands, Russian Federation, Lithuania, Saint Kitts and Nevis}"
1934-04-19,4,"{Cote d'Ivoire, Rwanda, Myanmar, Cameroon, Palestinian Territory, Qatar, Zambia, Dominican Republic, Czech Republic, Guadeloupe}"
1979-02-25,9,"{Serbia, Niger, Algeria, Jamaica, Sao Tome and Principe, Fiji, United Arab Emirates, Ireland}"
1922-06-02,10,"{Slovenia, Niue, Venezuela, Albania, Slovenia, Greenland, Antarctica (the territory South of 60 deg S)}"
1936-12-19,3,"{Honduras, Myanmar, Fiji, Saint Helena, Angola, Tokelau, Tajikistan, Kiribati}"
1922-07-03,0,"{Cook Islands, Isle of Man}"
1985-05-19,0,"{Jamaica, South Africa, Algeria, Libyan Arab Jamahiriya, Morocco}"
1947-09-24,6,"{United States of America, Brazil, San Marino, Zambia, Bulgaria, Niger, Mexico}"
1959-11-10,1,"{Serbia, Mozambique, Cuba, Cote d'Ivoire}"
1938-04-13,3,{Netherlands}
1940-03-09,5,"{Benin, Anguilla, Trinidad and Tobago, Benin, Micronesia}"
1988-05-05,10,"{Northern Mariana Islands, Niue, Gambia, Svalbard & Jan Mayen Islands, Chad, Eritrea, Cameroon, Jamaica}"
1929-03-05,9,{Hungary}
1987-12-10,10,{Libyan Arab Jamahiriya}
1980-08-29,6,"{Jersey, Niger, Lithuania, Malaysia, Cameroon, Azerbaijan, Vietnam, Cocos (Keeling) Islands}"
1994-10-02,9,"{Brazil, Mauritius}"
1994-06-24,9,"{China, Guatemala}"
1933-12-14,1,"{Spain, Iceland, Bolivia, Iraq, Bolivia, Timor-Leste}"
1997-01-31,10,"{Bolivia, Tanzania, Lao People's Democratic Republic, Togo, Antarctica (the territory South of 60 deg S)}"
1950-04-20,7,"{Mauritius, Marshall Islands}"
1954-10-21,0,"{Gabon, Uganda, Antigua and Barbuda, New Zealand, Solomon Islands, Guinea-Bissau, Belize, Nauru, United Kingdom}"
1934-09-20,5,"{Togo, Italy, Moldova}"
1970-12-11,0,"{Macedonia, Gibraltar, Vanuatu, Panama, Bahamas}"
1986-07-03,7,{Puerto Rico}
1936-09-30,8,"{Montenegro, Saint Lucia, Colombia, Serbia, Hungary, Czech Republic, Israel, Norway}"
1947-01-21,0,{Timor-Leste}
1968-07-27,9,"{Uganda, Norway, Equatorial Guinea}"
1934-11-21,2,"{Central African Republic, Montserrat, Philippines, Latvia, Congo, Greenland, Croatia, Holy See (Vatican City State), Afghanistan, Tokelau}"
1977-01-07,9,"{Lebanon, Saint Helena, Turkmenistan, Vanuatu, Grenada, Seychelles}"
1962-06-21,1,"{Libyan Arab Jamahiriya, Somalia, Azerbaijan, Ireland}"
1921-05-26,2,"{Guinea-Bissau, Sierra Leone, Bermuda, Denmark, Barbados, Saint Martin, Mozambique, Ethiopia, Sri Lanka, Mexico}"
1984-02-13,0,{Kenya}
1971-11-07,4,"{Anguilla, Heard Island and McDonald Islands, Saint Barthelemy, Hong Kong, Togo, Greenland, Afghanistan, Mongolia, Monaco, Saint Martin}"
1933-02-23,5,"{Mayotte, Djibouti, Libyan Arab Jamahiriya, Guyana, Bouvet Island (Bouvetoya), Vietnam, French Polynesia, Northern Mariana Islands}"
1994-06-11,0,"{Lesotho, Sri Lanka, Brunei Darussalam, Panama, Sudan, Armenia, Barbados, Nauru, French Polynesia}"
1967-08-22,6,"{Andorra, Albania, Angola, Chad}"
1925-03-18,7,"{Switzerland, American Samoa, Luxembourg}"
1927-01-25,8,"{Guyana, Sierra Leone, Liechtenstein}"
1984-07-08,4,"{Anguilla, Isle of Man}"
1970-06-05,10,"{United States of America, Nicaragua, Svalbard & Jan Mayen Islands, Ghana, Italy, Papua New Guinea, Western Sahara, Christmas Island}"
1923-12-12,2,"{Colombia, Nauru}"
1980-03-18,5,"{Cambodia, Spain, Japan, Hungary, Lao People's Democratic Republic, Vanuatu, Kyrgyz Republic}"
1929-01-10,2,{Malaysia}
1934-02-11,9,"{Switzerland, United States Minor Outlying Islands}"
1983-01-16,5,"{Luxembourg, Lesotho, Bangladesh, Korea, Liechtenstein, Malawi, Ireland, Niger, Western Sahara}"
1981-03-16,3,"{Guatemala, Fiji, Equatorial Guinea, Korea, Holy See (Vatican City State), Grenada, Andorra}"
1948-08-13,5,"{Gibraltar, Mayotte}"
1956-04-29,9,"{Palestinian Territory, Moldova, El Salvador, Afghanistan, Turkey, Syrian Arab Republic, Solomon Islands}"
1950-07-16,10,"{Zimbabwe, Swaziland, Croatia, Tunisia, Denmark, Belarus, Egypt, Serbia}"
1960-06-12,3,"{Christmas Island, Turks and Caicos Islands, Oman, Switzerland, Kenya, Israel, Belarus, El Salvador, Mayotte, Tokelau}"
1991-06-02,6,"{Mozambique, Cape Verde, Korea, Gabon, Heard Island and McDonald Islands, Sao Tome and Principe, Monaco}"
1924-01-28,0,"{India, Bahrain, Saint Helena, Cameroon, Faroe Islands, Northern Mariana Islands, Angola, Malawi}"
1975-01-10,9,"{Bulgaria, Samoa, Senegal, Eritrea}"
1947-11-18,1,"{Cyprus, Netherlands, Samoa, Vanuatu, United States of America, Belarus, Guinea}"
1923-07-22,7,"{Haiti, Maldives, Finland, Uzbekistan, Albania, Cyprus, Malawi}"
1979-03-16,2,"{Suriname, Kiribati, Poland, Denmark}"
1985-05-18,8,"{Timor-Leste, Burundi, Bouvet Island (Bouvetoya), Falkland Islands (Malvinas), Turkmenistan, Andorra, Cuba, Mozambique, Libyan Arab Jamahiriya}"
1995-08-09,0,"{French Guiana, Slovakia (Slovak Republic), Turkmenistan, Zimbabwe, Slovenia, New Caledonia, Uzbekistan, Switzerland}"
1939-03-07,7,"{Hungary, Antigua and Barbuda, Bahamas, Philippines}"
1993-06-01,9,"{Maldives, Saint Helena, Korea, Jersey, Belize, Honduras, Gambia, Mongolia}"
1969-11-03,8,"{Sweden, Somalia, Cape Verde, Bouvet Island (Bouvetoya), Nepal, Germany}"
1987-01-23,5,{Jersey}
1951-08-15,9,"{Mayotte, Bhutan, Isle of Man, Angola, Saint Martin, Macedonia}"
1957-08-07,9,"{United States Virgin Islands, Norfolk Island, Myanmar, Uganda, Spain, Morocco, Holy See (Vatican City State), Mexico}"
1921-06-17,5,"{Pitcairn Islands, Slovenia, Aruba, Nauru, Mauritania, French Southern Territories}"
1960-02-03,10,"{El Salvador, Palestinian Territory, Austria, Paraguay, Bosnia and Herzegovina, Bolivia, Angola, Egypt, Oman}"
1924-01-31,1,"{Saint Pierre and Miquelon, Iran, Albania, Benin, Cape Verde, Afghanistan, Albania, Monaco, Saint Pierre and Miquelon, Niger}"
1966-09-05,0,"{French Southern Territories, Honduras, Senegal, Isle of Man, Paraguay, Solomon Islands, Lesotho, Cape Verde, Senegal, Malta}"
1923-09-27,7,"{Benin, Turkey, Lao People's Democratic Republic, Guinea-Bissau, Togo}"
1964-02-04,7,"{Dominica, French Polynesia, Fiji}"
1985-09-25,1,"{Guatemala, Northern Mariana Islands, Libyan Arab Jamahiriya}"
1938-01-17,10,"{Belize, Cambodia, Maldives}"
1953-03-19,3,{Guadeloupe}
1984-04-17,8,"{Swaziland, Bangladesh}"
1949-07-08,8,"{Kiribati, Mayotte, Sweden, Slovakia (Slovak Republic), Venezuela, Macao, Chile}"
1972-04-26,1,"{Tunisia, Japan, Guinea, Singapore, Venezuela, Turkey, Malta}"
1946-08-12,9,"{Cambodia, Bulgaria, Uzbekistan, San Marino, Tuvalu}"
1989-11-12,4,"{Algeria, Senegal, Mozambique, Congo, Madagascar}"
1951-09-01,8,"{Australia, Vietnam, Botswana, Zimbabwe, Jersey, France}"
1937-02-13,3,"{Libyan Arab Jamahiriya, Senegal, Brunei Darussalam, Portugal, Wallis and Futuna, Liberia, Sri Lanka}"
1943-02-07,2,{Togo}
1953-03-06,9,"{Nigeria, Palau, Lesotho, Dominican Republic, Marshall Islands, Mozambique, Equatorial Guinea}"
1966-08-16,1,"{Equatorial Guinea, Northern Mariana Islands, Bahrain, New Zealand}"
1985-08-27,2,"{Tonga, Cameroon, Guadeloupe, Saint Helena, Belgium, Greenland, United Arab Emirates, Mauritania}"
1995-05-07,8,"{Bulgaria, United States of America, Greece, Western Sahara, Singapore, Western Sahara, Poland}"
1957-12-19,10,"{Philippines, Hungary, Belgium, Zimbabwe, Germany, Bhutan, India, Lao People's Democratic Republic, Turks and Caicos Islands, Hong Kong}"
1954-10-29,7,"{Bosnia and Herzegovina, Venezuela, Greenland, Botswana, Australia, Zambia}"
1990-02-02,6,"{Lebanon, Algeria, Tonga, Barbados, Kyrgyz Republic}"
1959-04-16,6,"{Latvia, Holy See (Vatican City State)}"
1992-10-22,8,"{Seychelles, Sweden, Svalbard & Jan Mayen Islands, El Salvador, Estonia}"
1993-10-06,10,"{Macao, Venezuela, Cocos (Keeling) Islands, Ghana, Solomon Islands}"
1991-05-02,7,"{Serbia, Bulgaria, Bangladesh, South Georgia and the South Sandwich Islands, Saint Lucia, Guinea}"
1967-02-27,10,"{Bulgaria, Svalbard & Jan Mayen Islands, Serbia, Saint Lucia, Turkmenistan, Wallis and Futuna, Saint Kitts and Nevis, Antarctica (the territory South of 60 deg S), Liberia, Canada}"
1940-07-21,4,"{Moldova, Belize, United States Minor Outlying Islands, Micronesia, Ireland}"
1969-05-06,4,"{Palau, Saint Vincent and the Grenadines, Bangladesh}"
1989-10-22,8,"{Svalbard & Jan Mayen Islands, Ireland, Australia, Sao Tome and Principe, Heard Island and McDonald Islands, United Kingdom, Svalbard & Jan Mayen Islands, Zambia, Equatorial Guinea}"
1965-05-06,8,"{Turks and Caicos Islands, Benin, Palau, Tajikistan, Hong Kong}"
1971-04-29,5,"{Iran, Antigua and Barbuda, Peru, Uruguay, Ireland, Panama, Niue}"
1975-12-11,5,"{Cape Verde, Norway, Peru, Turks and Caicos Islands, Georgia}"
1986-07-30,2,"{Singapore, Australia, Marshall Islands, Mali, Kiribati, Morocco}"
1985-09-26,4,{Russian Federation}
1942-02-19,8,"{Taiwan, French Polynesia, Tuvalu, Papua New Guinea, Mongolia}"
1932-01-10,0,"{Australia, Mali, Vietnam, Tokelau}"
1986-04-11,1,"{United Arab Emirates, British Indian Ocean Territory (Chagos Archipelago), Iraq, Czech Republic}"
1976-01-23,1,"{Cook Islands, Barbados, Kuwait, Svalbard & Jan Mayen Islands, Brazil, Reunion}"
1969-09-01,6,"{Philippines, Poland}"
1960-05-27,6,"{Pakistan, Pitcairn Islands, Isle of Man, Syrian Arab Republic, Israel, French Guiana, Mauritania, Western Sahara, French Guiana, Hungary}"
1973-03-26,6,"{Croatia, Saint Pierre and Miquelon}"
1945-09-07,9,"{Ukraine, Nauru, Egypt, Guadeloupe, Central African Republic, Libyan Arab Jamahiriya}"
1932-06-21,0,"{Mongolia, Aruba, Dominican Republic, Bahrain, Lebanon, Congo, Tanzania, Marshall Islands}"
1939-07-25,6,"{Jordan, Bermuda, Saudi Arabia, Kazakhstan, Pakistan, Israel, Ghana, Christmas Island, Switzerland, Mauritius}"
1949-06-02,1,"{Oman, French Polynesia, Rwanda, New Zealand, Saint Helena, Sao Tome and Principe}"
1989-06-29,2,"{Costa Rica, Russian Federation, Papua New Guinea, Argentina, France, Bahrain}"
1956-10-20,6,"{Bhutan, Panama}"
1930-01-28,4,"{Brazil, Tokelau, Bosnia and Herzegovina, Cambodia}"
1979-06-09,1,{Ukraine}
1941-12-14,10,"{Mongolia, Saint Martin, French Polynesia, Micronesia, Malawi, Oman, Austria, Gambia, South Africa, Greenland}"
1935-06-02,9,"{India, Algeria, Saudi Arabia, New Zealand, Austria, Nicaragua, Bahrain, Saudi Arabia}"
1974-01-04,9,"{Uruguay, Togo, Bahamas, Syrian Arab Republic, United States Minor Outlying Islands, Armenia, Mexico}"
1980-02-19,7,"{Faroe Islands, Holy See (Vatican City State), Vanuatu, South Georgia and the South Sandwich Islands, Saint Martin, Chad, France, South Africa, Haiti}"
1958-03-05,1,"{Israel, Guatemala, Denmark, Pitcairn Islands}"
1975-03-16,5,"{Djibouti, Zambia, Yemen, Timor-Leste, United States of America, Guinea-Bissau, Mauritius, Greenland, French Guiana, Egypt}"
1979-10-05,1,{Macao}
1958-10-02,0,{Palestinian Territory}
1942-01-11,3,"{Cocos (Keeling) Islands, Korea, Gambia, Liechtenstein, Saint Barthelemy, Northern Mariana Islands, Singapore, Netherlands, Ethiopia, Palau}"
1986-01-13,8,"{Anguilla, Algeria, Bangladesh, Czech Republic, Mongolia, Armenia, Palau}"
1985-02-02,7,"{Romania, Christmas Island, Ghana, Jordan, Gambia, Jamaica}"
1934-08-19,4,"{Antigua and Barbuda, Burundi, Holy See (Vatican City State), Guadeloupe}"
1953-06-12,4,"{Svalbard & Jan Mayen Islands, Liechtenstein, Dominican Republic, Togo, Niue, Burkina Faso}"
1988-09-02,0,"{Moldova, Italy, Somalia, Germany, Suriname, Netherlands Antilles, Malaysia, Egypt, Djibouti, Burkina Faso}"
1954-04-19,3,"{Saint Lucia, Faroe Islands, Palau, Greenland, Christmas Island, Timor-Leste, Sao Tome and Principe, Kuwait, Tonga}"
1966-06-30,7,"{Tunisia, Saint Vincent and the Grenadines, Guyana, Saudi Arabia, Liechtenstein}"
1924-07-07,2,"{Martinique, Ghana, Antarctica (the territory South of 60 deg S), India, Azerbaijan}"
1993-10-08,2,{Ghana}
1939-10-16,5,"{Zimbabwe, Yemen, Croatia}"
1968-07-08,8,"{Rwanda, Nigeria, Belize, Cambodia, United States Virgin Islands, Belgium, Netherlands, Portugal, Mexico}"
1965-05-31,4,"{Netherlands, Central African Republic, Palestinian Territory, Croatia, New Zealand, Brazil, Ethiopia, France, Guinea}"
1925-11-10,0,"{Germany, Qatar, Northern Mariana Islands, Belize, Malta, Israel, Mongolia}"
1921-09-16,3,"{Puerto Rico, Namibia, Uganda, Yemen, Saint Lucia, Aruba}"
1924-01-24,6,"{United States Minor Outlying Islands, Belgium}"
1996-06-02,7,"{Kiribati, Egypt, Northern Mariana Islands, Palau, Djibouti}"
1941-10-16,7,"{Heard Island and McDonald Islands, Ukraine}"
1980-06-22,3,"{Dominica, Nicaragua, United States Minor Outlying Islands, Qatar, Iraq, Afghanistan, Algeria, United Arab Emirates, Gambia}"
1965-09-01,0,"{Western Sahara, Kenya, Brunei Darussalam, Isle of Man, Israel, Saint Martin, Swaziland, Afghanistan}"
1927-11-10,9,"{Cameroon, Wallis and Futuna, El Salvador, Moldova, Russian Federation}"
1995-11-26,7,"{Macao, Senegal, Jamaica, Niger, Norfolk Island, Nepal, Sweden, Romania, Fiji}"
1964-11-30,9,{Hong Kong}
1983-02-13,10,"{China, French Southern Territories}"
1941-08-16,3,"{Namibia, Montserrat, Kazakhstan}"
1931-01-22,4,"{Georgia, Heard Island and McDonald Islands, Cyprus, Benin, Pitcairn Islands, Cayman Islands, Cook Islands}"
1931-06-10,6,"{Kazakhstan, Guinea, Romania, Egypt}"
1952-03-03,3,"{Italy, Suriname, Nauru, Brunei Darussalam, Madagascar, New Caledonia}"
1979-08-18,6,"{Italy, Trinidad and Tobago, Djibouti, Macao, Saint Vincent and the Grenadines, Nepal, Palestinian Territory, Venezuela, Luxembourg, Sierra Leone}"
1993-12-20,1,{Isle of Man}
1952-02-03,2,"{Ethiopia, Switzerland, Mauritania, Kenya, Netherlands, Italy, Brunei Darussalam}"
1976-06-08,4,"{Bulgaria, Guatemala, Bangladesh, South Georgia and the South Sandwich Islands, India, Comoros, Dominican Republic, Norway}"
1963-02-12,3,"{Russian Federation, Montenegro, Guernsey, Suriname}"
1924-08-31,4,"{Guadeloupe, Togo, Sweden, Kiribati, Falkland Islands (Malvinas), Netherlands Antilles, Madagascar, Kenya, Congo, Micronesia}"
1935-07-15,8,"{Tuvalu, Puerto Rico, Spain, Ghana}"
1959-05-17,0,"{Serbia, Luxembourg, Tajikistan, Senegal, Haiti, Uganda, Peru, Nicaragua, Egypt, United Arab Emirates}"
1925-10-17,0,"{Tajikistan, Estonia, Tanzania, Haiti, Niger, Namibia, Dominica, Sudan}"
1964-07-06,6,"{Korea, Marshall Islands, Korea, Gabon, South Georgia and the South Sandwich Islands, Dominican Republic, Hungary, Seychelles, Djibouti}"
1930-04-08,4,"{Isle of Man, Jersey, Indonesia, El Salvador, Bermuda, Antarctica (the territory South of 60 deg S), Faroe Islands, Norway}"
1932-05-22,7,"{Bhutan, Azerbaijan, Albania, New Caledonia, Bolivia, Gambia, Bangladesh}"
1997-09-26,8,"{Nigeria, Lebanon, Japan, French Polynesia, Bulgaria, Romania, Congo}"
1933-04-24,9,"{Hong Kong, Philippines}"
1942-02-05,3,"{Tunisia, American Samoa}"
1941-08-08,3,"{Dominican Republic, Slovakia (Slovak Republic)}"
1948-06-29,1,"{Trinidad and Tobago, Malta}"
1950-02-05,9,"{Yemen, Cuba, Nicaragua, Austria, Northern Mariana Islands, Zimbabwe, South Georgia and the South Sandwich Islands, El Salvador}"
1921-01-02,0,"{New Caledonia, Malaysia, Ethiopia, Iran, Luxembourg}"
1960-09-05,4,"{Luxembourg, Libyan Arab Jamahiriya, Martinique}"
1941-09-11,8,"{Zambia, Bouvet Island (Bouvetoya), Benin, Thailand, Saint Barthelemy, Japan}"
1967-01-31,10,"{Cape Verde, Heard Island and McDonald Islands, Afghanistan, Poland, Northern Mariana Islands, Haiti, Slovakia (Slovak Republic)}"
1937-03-15,5,"{Central African Republic, Azerbaijan, Reunion}"
1997-03-11,4,{Guadeloupe}
1920-06-22,10,{Congo}
1955-07-27,8,"{Finland, Korea, Cape Verde, Cote d'Ivoire, Vanuatu, Cocos (Keeling) Islands, Uruguay, Uruguay, Djibouti, British Indian Ocean Territory (Chagos Archipelago)}"
1960-10-11,4,{Botswana}
1975-03-25,1,{Brazil}
1996-12-11,10,"{South Georgia and the South Sandwich Islands, Falkland Islands (Malvinas), Vietnam, Togo, Mongolia, Germany, Japan, Luxembourg}"
1963-12-04,3,{Turkmenistan}
1922-11-16,9,"{Syrian Arab Republic, Denmark, Tanzania, Niue, Haiti, Tanzania, Guinea, Croatia, Poland, Greenland}"
1980-05-26,5,"{Iceland, United States Minor Outlying Islands, Malta, Egypt, Iran, Sierra Leone}"
1968-05-08,5,"{Andorra, Australia, Russian Federation, Morocco}"
1971-03-25,3,"{Mayotte, Guadeloupe, Hungary, Sri Lanka, Barbados}"
1928-09-27,1,"{Western Sahara, Romania, Slovenia, Myanmar, Nigeria, Senegal, Haiti, Angola, Guadeloupe}"
1923-03-24,8,"{Sri Lanka, Turkey, Brunei Darussalam, Macao, Luxembourg, Congo, Togo, Tonga, Bahrain}"
1933-12-02,5,"{Saudi Arabia, Yemen, Kyrgyz Republic, Finland, Belize, Algeria, Dominican Republic, Senegal, United States Minor Outlying Islands}"
1981-06-21,4,"{Niger, Cape Verde, Bosnia and Herzegovina, Saudi Arabia, South Africa, Mauritius, Lebanon, Hong Kong, Barbados, Qatar}"
1994-06-10,1,{Ecuador}
1972-09-23,1,"{Japan, Suriname, Tunisia, Croatia}"
1978-07-27,4,"{Martinique, Oman, Cote d'Ivoire, Haiti, Iceland, Gibraltar, Lao People's Democratic Republic}"
1934-08-06,0,"{South Africa, Korea, Thailand, Greenland, Japan, Niger, Lithuania, French Guiana, Togo}"
1952-05-21,10,"{Samoa, New Caledonia, Bosnia and Herzegovina, Syrian Arab Republic, Zambia, Bolivia, Bouvet Island (Bouvetoya), Czech Republic, Spain}"
1927-12-25,3,"{Christmas Island, Australia, Suriname}"
1971-06-18,0,"{Cyprus, Vietnam, Faroe Islands, Malta, Saint Pierre and Miquelon, Bulgaria, Pakistan, Iceland, Ethiopia}"
1988-08-19,3,"{Somalia, Azerbaijan, Malawi, Latvia, Cameroon, Albania, Solomon Islands, Antarctica (the territory South of 60 deg S), Sao Tome and Principe}"
1926-02-13,10,"{Brunei Darussalam, Yemen, France, Ecuador, Bhutan, Liechtenstein}"
1953-03-02,5,"{Vanuatu, Kenya, Cuba, Cape Verde, Ethiopia}"
1987-11-30,10,"{Saint Martin, Mauritius, Malaysia}"
1972-08-17,2,{Armenia}
